iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9051,9051,15000,9051,0,0,15000,masquerade_fake_fault,class,80169,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,25106,25106,49998,25106,0,0,49998,masquerade_fake_fault,class,75104,54,True,2.7738371450668433,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,19962,19962,49998,19962,0,0,49998,masquerade_fake_fault,class,69960,54,True,2.205502154458071,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,22418,22418,49998,22418,0,0,49998,masquerade_fake_fault,class,72416,54,True,2.4768533863661473,False
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,19958,19958,49998,19958,0,0,49998,masquerade_fake_fault,class,69956,54,True,2.205060214340957,False
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,19777,19777,49998,19777,0,0,49998,masquerade_fake_fault,class,69775,54,True,2.185062424041542,False
6,variant_external_test,outputs/dataset_iteration_6.csv,1.0,1.0,1.0,1.0,17263,17263,49998,17263,0,0,49998,masquerade_fake_fault,class,67261,54,True,1.907303060435311,False
7,variant_external_test,outputs/dataset_iteration_7.csv,1.0,1.0,1.0,1.0,19879,19879,49998,19879,0,0,49998,masquerade_fake_fault,class,69877,54,True,2.1963318970279526,False
8,variant_external_test,outputs/dataset_iteration_8.csv,0.9898880255941499,1.0,0.9646318313517834,0.9819975589910497,20018,20018,49998,19310,0,708,49998,masquerade_fake_fault,class,70016,54,True,2.2116893160976687,False
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,22556,22556,49998,22556,0,0,49998,masquerade_fake_fault,class,72554,54,True,2.492100320406585,False
10,variant_external_test,outputs/dataset_iteration_10.csv,0.990905458103099,1.0,0.9707615292606211,0.9851638717798858,22573,22573,49998,21913,0,660,49998,masquerade_fake_fault,class,72571,54,True,2.49397856590432,False
11,variant_external_test,outputs/dataset_iteration_11.csv,1.0,1.0,1.0,1.0,19986,19986,49998,19986,0,0,49998,masquerade_fake_fault,class,69984,54,True,2.2081537951607557,False
12,variant_external_test,outputs/dataset_iteration_12.csv,1.0,1.0,1.0,1.0,22696,22696,49998,22696,0,0,49998,masquerade_fake_fault,class,72694,54,True,2.5075682245055795,False
13,variant_external_test,outputs/dataset_iteration_13.csv,1.0,1.0,1.0,1.0,20092,20092,49998,20092,0,0,49998,masquerade_fake_fault,class,70090,54,True,2.21986520826428,False
14,variant_external_test,outputs/dataset_iteration_14.csv,0.999157900746471,1.0,0.997059556441565,0.9985276134860622,20065,20065,49998,20006,0,59,49998,masquerade_fake_fault,class,70063,54,True,2.2168821124737597,False
15,variant_external_test,outputs/dataset_iteration_15.csv,0.9966950232682218,1.0,0.9872396429388877,0.9935788534078148,17476,17476,49998,17253,0,223,49998,masquerade_fake_fault,class,67474,54,True,1.9308363716716386,False
16,variant_external_test,outputs/dataset_iteration_16.csv,0.9810495626822158,1.0,0.9336136978071493,0.9656672362901974,19974,19974,49998,18648,0,1326,49998,masquerade_fake_fault,class,69972,54,True,2.2068279748094133,False
17,variant_external_test,outputs/dataset_iteration_17.csv,0.9932902228962202,1.0,0.9764321608040201,0.9880755638046325,19900,19900,49998,19431,0,469,49998,masquerade_fake_fault,class,69898,54,True,2.198652082642802,False
18,variant_external_test,outputs/dataset_iteration_18.csv,0.9830426557300082,1.0,0.9452250323386413,0.9718413207979821,22419,22419,49998,21191,0,1228,49998,masquerade_fake_fault,class,72417,54,True,2.476963871395426,False
19,variant_external_test,outputs/dataset_iteration_19.csv,0.9844055974042681,1.0,0.9453488954565947,0.9719067851165186,19963,19963,49998,18872,0,1091,49998,masquerade_fake_fault,class,69961,54,True,2.2056126394873496,False
20,variant_external_test,outputs/dataset_iteration_20.csv,1.0,1.0,1.0,1.0,22509,22509,49998,22509,0,0,49998,masquerade_fake_fault,class,72507,54,True,2.486907524030494,False
21,variant_external_test,outputs/dataset_iteration_21.csv,1.0,1.0,1.0,1.0,27507,27507,49998,27507,0,0,49998,masquerade_fake_fault,class,77505,54,True,3.0391117003646007,False
22,variant_external_test,outputs/dataset_iteration_22.csv,0.9808944349713222,1.0,0.9460494637776319,0.9722768936624866,27414,27414,49998,25935,0,1479,49998,masquerade_fake_fault,class,77412,54,True,3.028836592641697,False
23,variant_external_test,outputs/dataset_iteration_23.csv,0.9732449484865426,1.0,0.9200095510983763,0.958338515110061,25128,25128,49998,23118,0,2010,49998,masquerade_fake_fault,class,75126,54,True,2.776267815710971,False
24,variant_external_test,outputs/dataset_iteration_24.csv,1.0,1.0,1.0,1.0,22371,22371,49998,22371,0,0,49998,masquerade_fake_fault,class,72369,54,True,2.4716605899900563,False
25,variant_external_test,outputs/dataset_iteration_25.csv,1.0,1.0,1.0,1.0,20188,20188,49998,20188,0,0,49998,masquerade_fake_fault,class,70186,54,True,2.2304717710750195,False
26,variant_external_test,outputs/dataset_iteration_26.csv,1.0,1.0,1.0,1.0,22451,22451,49998,22451,0,0,49998,masquerade_fake_fault,class,72449,54,True,2.480499392332339,False
27,variant_external_test,outputs/dataset_iteration_27.csv,1.0,1.0,1.0,1.0,22622,22622,49998,22622,0,0,49998,masquerade_fake_fault,class,72620,54,True,2.499392332338968,False
28,variant_external_test,outputs/dataset_iteration_28.csv,1.0,1.0,1.0,1.0,25413,25413,49998,25413,0,0,49998,masquerade_fake_fault,class,75411,54,True,2.807756049055353,False
29,variant_external_test,outputs/dataset_iteration_29.csv,1.0,1.0,1.0,1.0,20174,20174,49998,20174,0,0,49998,masquerade_fake_fault,class,70172,54,True,2.22892498066512,False
30,variant_external_test,outputs/dataset_iteration_30.csv,1.0,1.0,1.0,1.0,25003,25003,49998,25003,0,0,49998,masquerade_fake_fault,class,75001,54,True,2.7624571870511545,False
