iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,22687,22687,49998,22687,0,0,49998,masquerade_fake_fault,class,72685,54,True,2.527517825311943,False
10,variant_external_test,outputs/dataset_iteration_10.csv,0.9999406122873178,1.0,0.999769532150265,0.9998847527947448,17356,17356,49998,17352,0,4,49998,masquerade_fake_fault,class,67354,54,True,1.9336007130124777,False
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,8999,8999,15000,8999,0,0,15000,masquerade_fake_fault,class,79995,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,0.9997380249841437,1.0,0.9991566051136364,0.9995781246530631,22528,22528,49998,22509,0,19,49998,masquerade_fake_fault,class,72526,54,True,2.5033892654739414,False
2,variant_external_test,outputs/dataset_iteration_2.csv,0.9999733180356738,1.0,0.9999198685844786,0.999959932686914,24959,24959,49998,24957,0,2,49998,masquerade_fake_fault,class,74957,54,True,2.7735303922658074,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,30053,30053,49998,30053,0,0,49998,masquerade_fake_fault,class,80051,54,True,3.339593288143127,False
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,29781,29781,49998,29781,0,0,49998,masquerade_fake_fault,class,79779,54,False,3.3093677075230583,False
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,22700,22700,49998,22700,0,0,49998,masquerade_fake_fault,class,72698,54,True,2.5225025002778088,False
6,variant_external_test,outputs/dataset_iteration_6.csv,1.0,1.0,1.0,1.0,25067,25067,49998,25067,0,0,49998,masquerade_fake_fault,class,75065,54,True,2.785531725747305,False
7,variant_external_test,outputs/dataset_iteration_7.csv,1.0,1.0,1.0,1.0,24923,24923,49998,24923,0,0,49998,masquerade_fake_fault,class,74921,54,False,2.7695299477719746,False
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,30041,30041,49998,30041,0,0,49998,masquerade_fake_fault,class,80039,54,True,3.338259806645183,False
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,25066,25066,49998,25066,0,0,49998,masquerade_fake_fault,class,75064,54,True,2.7854206022891432,False
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,24941,24941,49998,24941,0,0,49998,masquerade_fake_fault,class,74939,54,False,2.771530170018891,False
